rowid,country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,estimated_generation_note_2013,estimated_generation_note_2014,estimated_generation_note_2015,estimated_generation_note_2016,estimated_generation_note_2017
12479,DEU,Germany,ADS-Anlage,WRI1005572,96.5,50.0918,8.5311,Gas,,,,2012.0,Infraserv GmbH & Co. Höchst KG,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,,,,,,,,,,373.97,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12490,DEU,Germany,Ahrensfelde,WRI1005574,150.0,52.5895,13.5587,Gas,,,,1990.0,Vattenfall Europe Generation AG,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,1032913,,,,,,,,,,,,,,581.31,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12522,DEU,Germany,BHKW,WRI1005586,13.0,49.0475,8.2816,Gas,,,,2013.0,Daimler AG,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,,,,,,,,,,50.38,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12523,DEU,Germany,BHKW H.120,WRI1005588,16.9,51.2545,6.7865,Gas,,,,2012.0,Daimler AG,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,,,,,,,,,,65.49,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12524,DEU,Germany,BHKW Ludwigshafen,WRI1005589,12.5,49.4531,8.4336,Gas,,,,2008.0,MVV Energie AG,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,2980.12,2941.261,2809.345,,,JRC-PPDB-OPEN,,,,,48.44,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12525,DEU,Germany,BHKW Obere Viehweide,WRI1005590,13.4,48.5109,9.0715,Gas,,,,2000.0,Stadtwerke Tübingen GmbH,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,1048067,,,,,,,,,,,,,,51.93,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12526,DEU,Germany,BHKW an Klinkerweg,WRI1005587,10.2,51.2169,6.9473,Gas,,,,2000.0,Stadtwerke Erkrath GmbH,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,1116545,,,,,,,,,,,,,,39.52,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12527,DEU,Germany,BHKW-Hauffstraße,WRI1005591,9.8,48.4939,9.1856,Gas,,,,2011.0,FairEnergie GmbH,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,1116375,,,,,,,,,,,,,,37.97,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12536,DEU,Germany,BP Werk Lingen,WRI1005617,66.0,52.5606,7.2952,Gas,,,,1996.0,BP Europa SE,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,,,,,,,,,,255.77,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12580,DEU,Germany,Biomass Generator #20,WRI1006098,10.7,49.8587,7.8857,Gas,,,,2006.0,Michelin Reifenwerke AG & Co. KGaA Standort Bad Kreuznach,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,,,,,,,,,,41.46,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12611,DEU,Germany,Bochum,WRI1005615,20.7,51.4833,7.2167,Gas,,,,2004.0,RWE Generation SE,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,,,,,,,,,,80.22,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
